count,max,warehouse_id,dst_office_id,office_name,pickup_latitude,pickup_longitude
551,2023-04-24,507,2940,МО Озёры Маршала Катукова 9,54.852428,38.520442
293,2023-04-24,507,156512,МО Мытищи пр-кт Астрахова 9,55.928421,37.733426
341,2023-04-24,507,204000,МО с Непецино 16Б,55.205974,38.610229
347,2023-04-24,507,206066,МО Мытищи Белобородова 2к3,55.924739,37.753883
180,2023-04-24,507,3609,МО Щёлково Радиоцентра № 5 18к1,55.89990737,38.0680865
452,2023-04-24,507,201426,МСК Академика Челомея 2А,55.662928,37.534577
250,2023-04-24,507,5090,МСК Авиаконструктора Петлякова 21,55.62307892,37.31245364
224,2023-04-24,507,100893,МО дач пос Снегири Станционная 18,55.881672,37.033376
334,2023-04-24,507,109561,МО Пересвет Королёва 11А,56.409525,38.168128
299,2023-04-24,507,108986,МО Серпухов Борисовское шоссе 37,54.914839,37.441865
651,2023-04-24,507,3563,МО Лобня Борисова 24,56.01288931,37.4571213
822,2023-04-24,507,2988,МСК Волжский бульвар 38,55.70171514,37.74895901
493,2023-04-24,507,3237,Химки Новозаводская 11,55.94155643,37.34696356
428,2023-04-24,507,5362,МО Коломна пр-кт Кирова 78,55.075576,38.759523
767,2023-04-24,507,102082,МСК Первомайская 112,55.793159,37.816919
567,2023-04-24,507,108873,МО рп Правдинский Герцена 30к1,56.062537,37.850653
890,2023-04-24,507,111656,МСК Фестивальная 12,55.85914,37.494267
634,2023-04-24,507,113071,МО д Суханово 5,55.53327,37.668537
118,2023-04-24,507,204207,МСК Генерала Белова 57,55.603242,37.727329
497,2023-04-24,507,111394,МСК Лухмановская 29,55.723467,37.903473
237,2023-04-24,507,203740,МСК Борисовские Пруды 20к1,55.638125,37.751682
774,2023-04-24,507,5344,МО Раменское Чугунова 41,55.57948974,38.20210536
394,2023-04-24,507,2991,МСК Садовая-Самотёчная 7с2,55.77412611,37.61595909
472,2023-04-24,507,976,МСК Денисовский пер 22,55.76650036,37.6754275
969,2023-04-24,507,107486,МСК Варшавское шоссе 141Ак4,55.584865,37.604199
173,2023-04-24,507,1482,МО с Павловская Слобода Урицкого 1,55.8126,37.0832
432,2023-04-24,507,3036,МО Раменское Высоковольтная 20,55.573009,38.20243
453,2023-04-24,507,109211,МО Мытищи Индустриальная 13А,55.924248,37.766474
426,2023-04-24,507,1944,МСК Петра Романова 6,55.7077972,37.68094472
496,2023-04-24,507,1711,МСК Митинская 39,55.8489525,37.35411093
422,2023-04-24,507,105508,МСК Адмирала Лазарева 36,55.546212,37.52738
300,2023-04-24,507,1847,МСК пр Черепановых 52,55.84304,37.536526
364,2023-04-24,507,2407,МО Ивантеевка Центральный пр 7,55.967108,37.903317
191,2023-04-24,507,105306,Балашиха пр-кт Ленина 81,55.800837,37.977733
253,2023-04-24,507,110497,МО дач пос Лесной Городок Фасадная 2к1,55.634983,37.215951
582,2023-04-24,507,115412,МО Реутов Советская 14к1,55.768797,37.858849
460,2023-04-24,507,145361,МСК Новочерёмушкинская 17,55.682995,37.583418
309,2023-04-24,507,113262,Балашиха Ленина 6,55.729279,38.033762
780,2023-04-24,507,103759,МСК Крылатские Холмы 37,55.760375,37.419063
235,2023-04-24,507,106584,МО с Жаворонки Железнодорожная с17,55.642304,37.100048
532,2023-04-24,507,1250,МСК Ленинский пр-кт 92,55.67025397,37.51762153
333,2023-04-24,507,5577,Балашиха Автозаводская 3,55.741386,38.009309
623,2023-04-24,507,2475,МСК Маршала Федоренко 12,55.881687,37.488862
787,2023-04-24,507,5956,МСК Батайский пр 41,55.64385535,37.73421304
448,2023-04-24,507,100669,МО Сергиев Посад Институтская 10А,56.300074,38.150689
357,2023-04-24,507,3347,МО Коломна Фрунзе 41,55.081893,38.776104
653,2023-04-24,507,107969,Подольск Народная 23,55.415744,37.539963
